word,frequency,sentiment
pandora,1,positive
lindaaaaaaa,4,positive
gualidade,2,positive
lindaaa,3,positive
pontualidadeestou,1,positive
correspondeu,27,positive
prazoporém,1,positive
medida,8,positive
pediram,5,positive
tirar,19,positive
cima,29,positive
ossinho,1,positive
tornozeloporém,1,positive
tornozeleira,1,positive
fechou,2,positive
panturrilha,1,positive
prestado,35,positive
idêntico,13,positive
caminhão,4,positive
roubado,3,positive
entregae,3,positive
estao,21,positive
parabénssuper,1,positive
relogio,27,positive
muitos,24,positive
onde,35,positive
prazorecomendo,19,positive
douro,1,positive
propõe,5,positive
infelizmente,41,positive
fraco,22,positive
durabilidade,10,positive
isto,12,positive
linhas,2,positive
expressão,1,positive
eficaz,22,positive
gravado,1,positive
torre,2,positive
computador,8,positive
etiqueta,5,positive
número,19,positive
série,2,positive
código,18,positive
negaram,1,positive
consulta,1,positive
sobre,78,positive
instalação,36,positive
cumpre,99,positive
promete,57,positive
cheirinho,6,positive
deliciosoameiameiamei,1,positive
película,57,positive
anterior,14,positive
quadros,27,positive
alça,10,positive
pendurar,6,positive
parede,20,positive
mega,17,positive
adesivo,15,positive
selo,9,positive
camaleão,1,positive
margem,2,positive
amim,1,positive
dispensada,2,positive
continuem,42,positive
vlw,7,positive
teste,20,positive
prova,3,positive
dagua,2,positive
entreguei,2,positive
corretoproduto,1,positive
período,17,positive
validade,14,positive
cama,52,positive
king,8,positive
queen,3,positive
parabénscomprei,1,positive
embalada,56,positive
elogios,12,positive
poltrona,3,positive
parabénsentregou,1,positive
amouquero,1,positive
seguinte,35,positive
saias,2,positive
fatura,8,positive
descontado,2,positive
tesoura,10,positive
tesouras,16,positive
errada,22,positive
estojo,8,positive
inferior,17,positive
funcional,13,positive
sombra,2,positive
recomendoum,1,positive
encanto,1,positive
serasa,1,positive
demais,103,positive
custoentrega,1,positive
previstoparabens,2,positive
relógios,18,positive
seriedade,23,positive
ergonômico,2,positive
parceiros,40,positive
posso,73,positive
entregues,102,positive
brindes,10,positive
kimono,1,positive
faixa,4,positive
intactos,6,positive
importante,20,positive
descupa,2,positive
ae,3,positive
equívoco,1,positive
peço,17,positive
qualquer,43,positive
fraca,12,positive
nodia,1,positive
recomendoperfeito,1,positive
pedalada,1,positive
noturnashowww,1,positive
embaladochegou,1,positive
arranhada,2,positive
parecia,21,positive
caido,2,positive
varias,17,positive
base,35,positive
ledes,1,positive
verdes,1,positive
completamente,8,positive
diferente,77,positive
mae,2,positive
extenso,8,positive
fornece,6,positive
contas,4,positive
comparado,3,positive
testes,7,positive
realizados,2,positive
realizada,74,positive
máximo,17,positive
praço,3,positive
oticas,1,positive
cobram,1,positive
dobro,2,positive
x,31,positive
modelos,4,positive
equivalentes,1,positive
verde,16,positive
azulado,2,positive
astes,1,positive
sólida,3,positive
frente,18,positive
translúcida,1,positive
entregabem,3,positive
diz,42,positive
fonte,9,positive
ps,7,positive
bluray,1,positive
funcionaram,2,positive
normalmente,9,positive
conheço,9,positive
facilidade,21,positive
produtoatendeu,3,positive
expectativasrecomendo,2,positive
transação,15,positive
tadas,1,positive
ameiiiii,5,positive
apaixonada,15,positive
fala,11,positive
praticamente,8,positive
semanas,22,positive
tenham,1,positive
duvida,13,positive
jogabilidade,1,positive
vendedores,10,positive
top,121,positive
papel,38,positive
boma,1,positive
tbem,1,positive
queiram,4,positive
adquirir,27,positive
qualidadeótimos,1,positive
atingiu,11,positive
sabendo,4,positive
dita,1,positive
chegaria,1,positive
serve,18,positive
tela,24,positive
curva,3,positive
laterais,6,positive
usada,5,positive
ótimoeu,1,positive
tanto,60,positive
atenderam,4,positive
superaram,4,positive
escolhido,24,positive
pago,26,positive
caminho,11,positive
ótimook,1,positive
alfabetização,1,positive
anos,71,positive
rabisca,1,positive
alternativa,2,positive
sair,9,positive
eficácia,12,positive
completou,2,positive
sala,23,positive
amaram,10,positive
quarto,30,positive
nichos,1,positive
prazoparabéns,4,positive
rapidezproduto,1,positive
venho,29,positive
perfeita,150,positive
contratempos,6,positive
recomendariafoi,1,positive
enviou,32,positive
defeitos,22,positive
muitoentrega,1,positive
feitinho,1,positive
sait,10,positive
ajuda,18,positive
cabelo,18,positive
máquina,22,positive
aparência,16,positive
pino,3,positive
comum,3,positive
daqueles,1,positive
tracinho,1,positive
totalmente,48,positive
noite,34,positive
exato,8,positive
obter,3,positive
imformação,1,positive
motivo,23,positive
atrazo,3,positive
guarda,4,positive
chuva,9,positive
brasil,22,positive
placa,10,positive
nova,9,positive
enrolada,1,positive
chicote,1,positive
expecyativa,1,positive
estranhofoi,2,positive
fato,24,positive
vezessendo,2,positive
mandaram,17,positive
elton,1,positive
cheiroso,6,positive
pano,11,positive
prato,11,positive
nuito,1,positive
saco,20,positive
justo,51,positive
encaixava,2,positive
diâmetro,1,positive
serrar,1,positive
martelar,1,positive
poder,29,positive
caber,3,positive
encaixar,7,positive
índico,4,positive
poção,1,positive
recomendarei,7,positive
pedir,26,positive
vo,1,positive
estampa,22,positive
caveira,1,positive
mexicana,1,positive
constava,5,positive
vale,128,positive
vêm,3,positive
pilha,7,positive
recomendoentrega,4,positive
rever,8,positive
fornecedores,4,positive
principalmente,23,positive
empresas,9,positive
tinua,1,positive
abrir,19,positive
lacre,8,positive
sido,55,positive
apresentador,1,positive
conferi,3,positive
durante,23,positive
